stationCode	stationName	lat	lng
S05991	BOLOGNA VIA LARGA	0.0	4.511256
S05086	BOLOGNA ZANARDI	44.514775	11.333977
S05016	BOLOGNA ZANOLINI	44.494504	11.359241
S02026	BOLZANO	46.496346	11.358556
S02059	BOLZANO CASANOVA	46.478258	11.318873
S00014	BOLZANO NOVARESE	45.759357	8.440754
S02226	BOLZANO SUD	46.472617	11.33334
S07993	BOMBA TORRICELLA	-9.019376	4.511247
S04730	BONASSOLA	44.184867	9.582673
S05165	BONDENO	-9.019376	4.511247
S09464	BONEFRO S.CROCE	41.710522	14.860799
S02383	BONFERRARO	45.185651	11.009247
S12867	BONORVA	40.417763	8.760707
S04503	BORDIGHERA	43.778313	7.663504
S05963	BORETTO	0.0	4.511256
S00086	BORGARO	-9.019376	4.511247
S06100	BORGHETTO PARMENSE	44.837198	10.1177
S04518	BORGHETTO S.SPIRITO	44.109006	8.242346
S02051	BORGHETTO SULL'ADIGE	45.696721	10.927083
S04521	BORGIO VEREZZI	44.157722	8.30908
S09526	BORGO	40.845976	14.784092
S06410	BORGO A BUGGIANO	43.880724	10.730079
S06309	BORGO A MOZZANO	43.977207	10.541285
S04214	BORGO FORNARI PER VOLTAGGIO	44.588379	8.938295
S00032	BORGO LAVEZZARO	45.318783	8.703242
S00171	BORGO REVEL	45.189827	8.02021
S00613	BORGO S.DALMAZZO	44.326249	7.486111
S06604	BORGO S.LORENZO	43.959822	11.380422
S06704	BORGO S.LORENZO RIMORELLI	43.953279	11.400076
S00315	BORGO S.MARTINO	45.087083	8.520661
S00981	BORGO TICINO	45.691943	8.602483
S06161	BORGO VAL DI TARO	44.486522	9.781489
S02313	BORGO VALSUGANA CENTRO	46.051182	11.453967
S02314	BORGO VALSUGANA EST	46.05224	11.462119
S00246	BORGO VERCELLI	45.359252	8.461474
S02021	BORGOCHIESANUOVA	45.149462	10.769481
S02338	BORGOFORTE	45.050328	10.752388
S00152	BORGOFRANCO	45.514775	7.854612
S01830	BORGOLOMBARDO	45.403856	9.27111
S00016	BORGOMANERO	45.701054	8.468093
S01788	BORGONATO - ADRO	45.62222	10.020094
S00210	BORGONE	45.123191	7.236037
S05152	BORGONUOVO	44.443261	11.274964
S00860	BORGORATTO	44.835999	8.538182
S00104	BORGOSESIA	45.716798	8.28239
S01789	BORNATO - CALINO	45.590419	10.03321
S12872	BORORE	40.218992	8.809535
